nama_dataset,nama_video_mentah,jenis_latihan,camera_view,total_lm_frames,total_zero_filled_lm,persentase_zero_fill_pct,frame_validator_terdampak,persentase_frame_val_terdampak_pct,zero_shoulder,zero_elbow,zero_wrist,zero_hip,zero_knee,zero_ankle
BenchPress_153,sekunder_sekunder_benchpress_kaggle52_rep52.mp4,benchpress,sekunder_kaggle,2112,323,15.29,35,54.69,0,35,8,0,64,66
BenchPress_154,sekunder_sekunder_benchpress_kaggle53_rep53.mp4,benchpress,sekunder_kaggle,2112,438,20.74,7,10.94,0,7,0,0,47,128
BenchPress_155,sekunder_sekunder_benchpress_kaggle54_rep54.mp4,benchpress,sekunder_kaggle,2112,354,16.76,64,100.0,0,64,64,0,34,0
BenchPress_157,sekunder_sekunder_benchpress_kaggle56_rep56.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,0,0,128,128
BenchPress_158,sekunder_sekunder_benchpress_kaggle57_rep57.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,0,0,128,128
BenchPress_159,sekunder_sekunder_benchpress_kaggle58_rep58.mp4,benchpress,sekunder_kaggle,2112,358,16.95,0,0.0,0,0,0,0,56,101
BenchPress_160,sekunder_sekunder_benchpress_kaggle59_rep59.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_161,sekunder_sekunder_benchpress_kaggle60_rep60.mp4,benchpress,sekunder_kaggle,2112,285,13.49,29,45.31,0,29,25,0,0,64
BenchPress_162,sekunder_sekunder_benchpress_kaggle61_rep61.mp4,benchpress,sekunder_kaggle,2112,221,10.46,38,59.38,0,38,1,0,3,50
BenchPress_163,sekunder_sekunder_benchpress_kaggle62_rep62.mp4,benchpress,sekunder_kaggle,2112,0,0.0,0,0.0,0,0,0,0,0,0
BenchPress_164,sekunder_sekunder_benchpress_kaggle63_rep63.mp4,benchpress,sekunder_kaggle,2112,66,3.12,0,0.0,0,0,0,0,0,66
BenchPress_165,sekunder_sekunder_benchpress_kaggle64_rep64.mp4,benchpress,sekunder_kaggle,2112,287,13.59,58,90.62,0,58,0,0,0,87
BenchPress_167,sekunder_sekunder_benchpress_kaggle66_rep66.mp4,benchpress,sekunder_kaggle,2112,318,15.06,48,75.0,0,48,0,0,0,93
BenchPress_168,sekunder_sekunder_benchpress_kaggle67_rep67.mp4,benchpress,sekunder_kaggle,2112,379,17.95,64,100.0,0,64,1,0,0,107
BenchPress_169,sekunder_sekunder_benchpress_kaggle68_rep68.mp4,benchpress,sekunder_kaggle,2112,128,6.06,0,0.0,0,0,0,0,0,94
BenchPress_170,sekunder_sekunder_benchpress_kaggle69_rep69.mp4,benchpress,sekunder_kaggle,2112,284,13.45,53,82.81,0,53,0,0,0,70
BenchPress_172,sekunder_sekunder_benchpress_kaggle71_rep71.mp4,benchpress,sekunder_kaggle,2112,282,13.35,42,65.62,0,42,0,0,0,99
BenchPress_173,sekunder_sekunder_benchpress_kaggle72_rep72.mp4,benchpress,sekunder_kaggle,2112,445,21.07,3,4.69,0,3,1,0,93,117
BenchPress_174,sekunder_sekunder_benchpress_kaggle73_rep73.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_176,sekunder_sekunder_benchpress_kaggle75_rep75.mp4,benchpress,sekunder_kaggle,2112,308,14.58,24,37.5,0,27,0,0,85,74
BenchPress_177,sekunder_sekunder_benchpress_kaggle76_rep76.mp4,benchpress,sekunder_kaggle,2112,415,19.65,21,32.81,0,21,0,0,101,98
BenchPress_178,sekunder_sekunder_benchpress_kaggle77_rep77.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,64,0,0,128
BenchPress_179,sekunder_sekunder_benchpress_kaggle78_rep78.mp4,benchpress,sekunder_kaggle,2112,258,12.22,40,62.5,0,40,40,0,45,6
BenchPress_180,sekunder_sekunder_benchpress_kaggle79_rep79.mp4,benchpress,sekunder_kaggle,2112,70,3.31,14,21.88,0,14,14,0,0,0
BenchPress_181,sekunder_sekunder_benchpress_kaggle80_rep80.mp4,benchpress,sekunder_kaggle,2112,60,2.84,9,14.06,0,9,8,0,1,1
BenchPress_182,sekunder_sekunder_benchpress_kaggle81_rep81.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_183,sekunder_sekunder_benchpress_kaggle82_rep82.mp4,benchpress,sekunder_kaggle,2112,359,17.0,41,64.06,0,41,4,0,74,75
BenchPress_184,sekunder_sekunder_benchpress_kaggle83_rep83.mp4,benchpress,sekunder_kaggle,2112,305,14.44,0,0.0,0,0,0,0,57,85
BenchPress_185,sekunder_sekunder_benchpress_kaggle84_rep84.mp4,benchpress,sekunder_kaggle,2112,58,2.75,29,45.31,0,29,29,0,0,0
BenchPress_186,sekunder_sekunder_benchpress_kaggle85_rep85.mp4,benchpress,sekunder_kaggle,2112,0,0.0,0,0.0,0,0,0,0,0,0
BenchPress_187,sekunder_sekunder_benchpress_kaggle86_rep86.mp4,benchpress,sekunder_kaggle,2112,6,0.28,3,4.69,0,3,0,0,0,0
BenchPress_188,sekunder_sekunder_benchpress_kaggle87_rep87.mp4,benchpress,sekunder_kaggle,2112,17,0.8,4,6.25,0,4,4,0,0,0
BenchPress_189,sekunder_sekunder_benchpress_kaggle88_rep88.mp4,benchpress,sekunder_kaggle,2112,0,0.0,0,0.0,0,0,0,0,0,0
BenchPress_191,sekunder_sekunder_benchpress_kaggle90_rep90.mp4,benchpress,sekunder_kaggle,2112,494,23.39,64,100.0,0,64,54,0,64,66
BenchPress_192,sekunder_sekunder_benchpress_kaggle91_rep91.mp4,benchpress,sekunder_kaggle,2112,302,14.3,64,100.0,0,64,0,0,0,128
BenchPress_193,sekunder_sekunder_benchpress_kaggle92_rep92.mp4,benchpress,sekunder_kaggle,2112,285,13.49,29,45.31,0,29,25,0,0,64
BenchPress_194,sekunder_sekunder_benchpress_kaggle93_rep93.mp4,benchpress,sekunder_kaggle,2112,17,0.8,4,6.25,0,4,4,0,0,0
BenchPress_196,sekunder_sekunder_benchpress_kaggle95_rep95.mp4,benchpress,sekunder_kaggle,2112,0,0.0,0,0.0,0,0,0,0,0,0
