movement,video_name,scenario,prediction,prediction_label,confidence,attention_source,target_focus_ratio,topk_hit_count,topk_hit_ratio,topk_joints,occlusion_target_drop_ratio,gradient_target_ratio,original_frame_count,sampled_frame_count
Squat,primer_squat_frontal_subjek01_rep5.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5955349802970886,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.1610921601547447,0.14142973590415686,127,64
Squat,primer_squat_frontal_subjek01_rep5.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9989578723907471,fused,0.20000963376924927,2,0.5,"27,28,25,26,29",-0.05598210829376921,0.13597605658428574,127,64
Squat,primer_squat_frontal_subjek01_rep5.mp4,Full Model (Final),0,Form Benar,0.6511093974113464,fused,0.15577804190113742,2,0.5,"26,25,29,28,27",-0.008271757951736717,0.14362522604258626,127,64
Squat,primer_squat_frontal_subjek01_rep6.mp4,Baseline 3D-CNN,1,Form Salah,0.9551029205322266,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.18988562849602172,0.1526550960002825,102,64
Squat,primer_squat_frontal_subjek01_rep6.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9970691800117493,learned,0.15259141377926705,1,0.25,"5,6,4,7,23",0.19755666257098567,0.13505705256160883,102,64
Squat,primer_squat_frontal_subjek01_rep6.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5949654579162598,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.14732124656316964,0.13861512753959127,102,64
Squat,primer_squat_frontal_subjek01_rep6.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9994139671325684,fused,0.1986532700598905,3,0.75,"27,28,25,26,24",-0.06970857023248801,0.13995689025665572,102,64
Squat,primer_squat_frontal_subjek01_rep6.mp4,Full Model (Final),1,Form Salah,0.6234132051467896,fused,0.1574304286567229,2,0.5,"26,25,29,28,27",0.007955421764793297,0.139960300874643,102,64
Squat,primer_squat_frontal_subjek01_rep7.mp4,Baseline 3D-CNN,1,Form Salah,0.9443243741989136,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.18416386036593918,0.15974474618674583,148,64
Squat,primer_squat_frontal_subjek01_rep7.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9953558444976807,learned,0.14586938506573913,0,0.0,"5,6,4,7,8",0.18503465211496029,0.13534777093161904,148,64
Squat,primer_squat_frontal_subjek01_rep7.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.6336153149604797,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.16786096768200923,0.14077916269937085,148,64
Squat,primer_squat_frontal_subjek01_rep7.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9990034699440002,fused,0.1998821635910993,2,0.5,"27,28,25,26,29",-0.03875867517483632,0.1333315231160833,148,64
Squat,primer_squat_frontal_subjek01_rep7.mp4,Full Model (Final),0,Form Benar,0.528971791267395,fused,0.1548719745047939,2,0.5,"26,25,29,28,27",-0.012934023266894853,0.14682120989437766,148,64
Squat,primer_squat_frontal_subjek01_rep8.mp4,Baseline 3D-CNN,1,Form Salah,0.938806414604187,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19234585820653316,0.15678190542403544,117,64
Squat,primer_squat_frontal_subjek01_rep8.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9966541528701782,learned,0.14991071024906535,1,0.25,"5,6,4,7,23",0.18112560018745913,0.1350191376529101,117,64
